      S          PHI         IOTA        SHEAR        VP         WELL        ITOR       ITOR'       PRES       PRES'
  1.9500E-01  7.6865E-03  1.0522E+00  3.7796E-02  8.9710E+00  2.1150E+00 -9.7074E-18  5.5770E-14  0.0000E+00  0.0000E+00
  2.0000E-01  7.8836E-03  1.0523E+00  3.9670E-02  8.9706E+00  2.0982E+00  4.6494E-17  7.8024E-15  0.0000E+00  0.0000E+00
  2.0500E-01  8.0807E-03  1.0523E+00  4.1412E-02  8.9702E+00  2.0820E+00  3.8234E-17 -1.7147E-14  0.0000E+00  0.0000E+00
  2.1000E-01  8.2778E-03  1.0524E+00  4.3309E-02  8.9698E+00  2.0659E+00  3.5849E-17  1.4450E-14  0.0000E+00  0.0000E+00
  2.1500E-01  8.4749E-03  1.0525E+00  4.5134E-02  8.9694E+00  2.0497E+00  5.6286E-17  8.6705E-15  0.0000E+00  0.0000E+00
  2.2000E-01  8.6720E-03  1.0526E+00  4.7113E-02  8.9690E+00  2.0334E+00  6.5398E-17  1.6378E-15  0.0000E+00  0.0000E+00
  2.2500E-01  8.8690E-03  1.0527E+00  4.8953E-02  8.9686E+00  2.0176E+00  3.8319E-19 -7.5199E-14  0.0000E+00  0.0000E+00
  2.3000E-01  9.0661E-03  1.0528E+00  5.0912E-02  8.9682E+00  2.0020E+00 -1.7286E-17  5.5210E-14  0.0000E+00  0.0000E+00
  2.3500E-01  9.2632E-03  1.0528E+00  5.2796E-02  8.9678E+00  1.9864E+00  2.6951E-17 -5.1551E-15  0.0000E+00  0.0000E+00
  2.4000E-01  9.4603E-03  1.0529E+00  5.4815E-02  8.9674E+00  1.9706E+00  4.3513E-17  2.3897E-14  0.0000E+00  0.0000E+00
  2.4500E-01  9.6574E-03  1.0530E+00  5.6704E-02  8.9670E+00  1.9554E+00  3.3593E-17 -3.5125E-14  0.0000E+00  0.0000E+00
  2.5000E-01  9.8545E-03  1.0531E+00  5.8692E-02  8.9666E+00  1.9403E+00 -1.3454E-17 -1.8117E-14  0.0000E+00  0.0000E+00
  2.5500E-01  1.0052E-02  1.0532E+00  6.0613E-02  8.9663E+00  1.9251E+00  3.9170E-18  3.7778E-14  0.0000E+00  0.0000E+00
  2.6000E-01  1.0249E-02  1.0534E+00  6.2652E-02  8.9659E+00  1.9097E+00  1.9500E-17 -2.0143E-14  0.0000E+00  0.0000E+00
  2.6500E-01  1.0446E-02  1.0535E+00  6.4567E-02  8.9655E+00  1.8948E+00  3.9681E-17  4.2986E-14  0.0000E+00  0.0000E+00
  2.7000E-01  1.0643E-02  1.0536E+00  6.6565E-02  8.9651E+00  1.8800E+00  5.8968E-17 -2.1156E-14  0.0000E+00  0.0000E+00
  2.7500E-01  1.0840E-02  1.0537E+00  6.8498E-02  8.9648E+00  1.8651E+00 -2.1969E-17 -7.0460E-14  0.0000E+00  0.0000E+00
  2.8000E-01  1.1037E-02  1.0538E+00  7.0533E-02  8.9644E+00  1.8500E+00 -3.8319E-18  9.0995E-14  0.0000E+00  0.0000E+00
  2.8500E-01  1.1234E-02  1.0540E+00  7.2453E-02  8.9640E+00  1.8353E+00  3.8532E-17 -4.3041E-14  0.0000E+00  0.0000E+00
  2.9000E-01  1.1431E-02  1.0541E+00  7.4443E-02  8.9637E+00  1.8207E+00  2.1544E-17  2.3811E-14  0.0000E+00  0.0000E+00
  2.9500E-01  1.1628E-02  1.0542E+00  7.6374E-02  8.9633E+00  1.8060E+00  2.1203E-17 -2.4197E-14  0.0000E+00  0.0000E+00
  3.0000E-01  1.1825E-02  1.0544E+00  7.8394E-02  8.9630E+00  1.7911E+00 -6.3865E-19 -5.3024E-16  0.0000E+00  0.0000E+00
  3.0500E-01  1.2022E-02  1.0545E+00  8.0301E-02  8.9626E+00  1.7766E+00 -3.7169E-17 -4.0830E-14  0.0000E+00  0.0000E+00
  3.1000E-01  1.2220E-02  1.0546E+00  8.2265E-02  8.9623E+00  1.7622E+00 -2.7802E-17  5.1438E-14  0.0000E+00  0.0000E+00
  3.1500E-01  1.2417E-02  1.0548E+00  8.4169E-02  8.9619E+00  1.7476E+00  2.3289E-17  6.4119E-15  0.0000E+00  0.0000E+00
  3.2000E-01  1.2614E-02  1.0549E+00  8.6148E-02  8.9616E+00  1.7329E+00  2.5929E-17 -3.4230E-15  0.0000E+00  0.0000E+00
  3.2500E-01  1.2811E-02  1.0551E+00  8.8025E-02  8.9612E+00  1.7185E+00  5.6201E-18 -1.9575E-14  0.0000E+00  0.0000E+00
  3.3000E-01  1.3008E-02  1.0552E+00  8.9954E-02  8.9609E+00  1.7041E+00  3.5381E-17  5.3278E-14  0.0000E+00  0.0000E+00
  3.3500E-01  1.3205E-02  1.0554E+00  9.1825E-02  8.9606E+00  1.6896E+00  4.0107E-17 -4.7928E-14  0.0000E+00  0.0000E+00
  3.4000E-01  1.3402E-02  1.0556E+00  9.3774E-02  8.9602E+00  1.6750E+00  2.2949E-17  2.8497E-14  0.0000E+00  0.0000E+00
  3.4500E-01  1.3599E-02  1.0557E+00  9.5619E-02  8.9599E+00  1.6606E+00  1.2134E-17 -4.0746E-14  0.0000E+00  0.0000E+00
  3.5000E-01  1.3796E-02  1.0559E+00  9.7496E-02  8.9596E+00  1.6463E+00 -2.9591E-17 -6.5100E-15  0.0000E+00  0.0000E+00
  3.5500E-01  1.3993E-02  1.0561E+00  9.9319E-02  8.9593E+00  1.6318E+00  4.2577E-19  4.0508E-14  0.0000E+00  0.0000E+00
  3.6000E-01  1.4190E-02  1.0563E+00  1.0120E-01  8.9589E+00  1.6172E+00 -2.3289E-17 -6.7371E-14  0.0000E+00  0.0000E+00
  3.6500E-01  1.4388E-02  1.0564E+00  1.0298E-01  8.9586E+00  1.6028E+00 -3.3848E-17  5.5413E-14  0.0000E+00  0.0000E+00
  3.7000E-01  1.4585E-02  1.0566E+00  1.0481E-01  8.9583E+00  1.5885E+00  2.7419E-17  1.3986E-14  0.0000E+00  0.0000E+00
  3.7500E-01  1.4782E-02  1.0568E+00  1.0658E-01  8.9580E+00  1.5740E+00  1.8052E-17 -2.4598E-14  0.0000E+00  0.0000E+00
  3.8000E-01  1.4979E-02  1.0570E+00  1.0843E-01  8.9577E+00  1.5593E+00 -2.3928E-17 -2.2959E-14  0.0000E+00  0.0000E+00
  3.8500E-01  1.5176E-02  1.0572E+00  1.1018E-01  8.9574E+00  1.5449E+00 -2.0479E-17  2.6866E-14  0.0000E+00  0.0000E+00
  3.9000E-01  1.5373E-02  1.0574E+00  1.1194E-01  8.9571E+00  1.5306E+00  6.1864E-17  6.6421E-14  0.0000E+00  0.0000E+00
  3.9500E-01  1.5570E-02  1.0576E+00  1.1366E-01  8.9568E+00  1.5160E+00  7.0422E-17 -5.6727E-14  0.0000E+00  0.0000E+00
  4.0000E-01  1.5767E-02  1.0578E+00  1.1542E-01  8.9565E+00  1.5014E+00  2.3162E-17  3.1838E-15  0.0000E+00  0.0000E+00
  4.0500E-01  1.5964E-02  1.0580E+00  1.1709E-01  8.9562E+00  1.4870E+00  1.4689E-17 -1.2784E-14  0.0000E+00  0.0000E+00
  4.1000E-01  1.6161E-02  1.0582E+00  1.1879E-01  8.9559E+00  1.4725E+00 -6.8974E-18 -1.1675E-14  0.0000E+00  0.0000E+00
  4.1500E-01  1.6358E-02  1.0584E+00  1.2045E-01  8.9556E+00  1.4579E+00 -9.5371E-18  8.6839E-15  0.0000E+00  0.0000E+00
  4.2000E-01  1.6556E-02  1.0586E+00  1.2218E-01  8.9553E+00  1.4432E+00 -8.0044E-18 -6.9473E-15  0.0000E+00  0.0000E+00
  4.2500E-01  1.6753E-02  1.0588E+00  1.2382E-01  8.9550E+00  1.4287E+00 -6.4716E-17 -5.7317E-14  0.0000E+00  0.0000E+00
  4.3000E-01  1.6950E-02  1.0591E+00  1.2545E-01  8.9548E+00  1.4142E+00 -3.1762E-17  9.4663E-14  0.0000E+00  0.0000E+00
  4.3500E-01  1.7147E-02  1.0593E+00  1.2705E-01  8.9545E+00  1.3995E+00 -6.5568E-18 -6.6102E-14  0.0000E+00  0.0000E+00
  4.4000E-01  1.7344E-02  1.0595E+00  1.2868E-01  8.9542E+00  1.3847E+00 -4.6494E-17  2.0845E-14  0.0000E+00  0.0000E+00
  4.4500E-01  1.7541E-02  1.0597E+00  1.3022E-01  8.9539E+00  1.3702E+00  2.9293E-17  6.5045E-14  0.0000E+00  0.0000E+00
  4.5000E-01  1.7738E-02  1.0600E+00  1.3180E-01  8.9537E+00  1.3556E+00  2.5631E-17 -6.9196E-14  0.0000E+00  0.0000E+00
  4.5500E-01  1.7935E-02  1.0602E+00  1.3333E-01  8.9534E+00  1.3409E+00 -6.4631E-17 -3.3103E-14  0.0000E+00  0.0000E+00
  4.6000E-01  1.8132E-02  1.0604E+00  1.3493E-01  8.9531E+00  1.3260E+00 -7.6808E-17  1.9303E-14  0.0000E+00  0.0000E+00
  4.6500E-01  1.8329E-02  1.0607E+00  1.3645E-01  8.9529E+00  1.3113E+00  5.9607E-18  7.4511E-14  0.0000E+00  0.0000E+00
  4.7000E-01  1.8526E-02  1.0609E+00  1.3795E-01  8.9526E+00  1.2966E+00  6.1991E-17 -1.1003E-14  0.0000E+00  0.0000E+00
  4.7500E-01  1.8724E-02  1.0612E+00  1.3942E-01  8.9524E+00  1.2818E+00  9.0262E-18 -4.9033E-14  0.0000E+00  0.0000E+00
