      S          PHI         IOTA        SHEAR        VP         WELL        ITOR       ITOR'       PRES       PRES'
------------------------------------------------------------------------------------------------------------------------
  5.0000E-03 -1.0954E-02  8.5586E-01  5.8734E-03 -1.3137E+01  1.2618E-01  4.5855E-17  3.1778E-16  1.2504E-12 -4.3665E-14
  1.0000E-02 -2.1907E-02  8.5676E-01  6.6263E-03 -1.3135E+01  1.1285E-01  3.1975E-17 -5.1075E-16  1.2441E-12 -4.3669E-14
  1.5000E-02 -3.2861E-02  8.5760E-01  5.0248E-03 -1.3134E+01  1.0576E-01  3.5509E-17  5.5992E-16  1.2378E-12 -4.3673E-14
  2.0000E-02 -4.3815E-02  8.5825E-01  4.0414E-03 -1.3133E+01  1.0141E-01  7.0762E-17 -6.9848E-17  1.2315E-12 -4.3677E-14
  2.5000E-02 -5.4769E-02  8.5879E-01  3.3929E-03 -1.3132E+01  9.8820E-02  1.9756E-17 -6.3934E-16  1.2252E-12 -4.3681E-14
  3.0000E-02 -6.5722E-02  8.5924E-01  2.9542E-03 -1.3131E+01  9.7190E-02  2.4269E-17  7.0215E-16  1.2189E-12 -4.3684E-14
  3.5000E-02 -7.6676E-02  8.5965E-01  2.6762E-03 -1.3130E+01  9.6035E-02  2.5120E-17 -6.9037E-16  1.2127E-12 -4.3688E-14
  4.0000E-02 -8.7630E-02  8.6002E-01  2.4398E-03 -1.3129E+01  9.5102E-02 -7.6638E-18  2.3448E-16  1.2064E-12 -4.3691E-14
  4.5000E-02 -9.8583E-02  8.6036E-01  2.2771E-03 -1.3128E+01  9.4305E-02  5.4328E-17  6.2771E-16  1.2001E-12 -4.3695E-14
  5.0000E-02 -1.0954E-01  8.6067E-01  2.1219E-03 -1.3127E+01  9.3606E-02  1.6418E-16  9.0018E-16  1.1938E-12 -4.3698E-14
  5.5000E-02 -1.2049E-01  8.6097E-01  2.0036E-03 -1.3126E+01  9.3005E-02  2.6091E-16  4.4539E-16  1.1875E-12 -4.3702E-14
  6.0000E-02 -1.3144E-01  8.6125E-01  1.8784E-03 -1.3125E+01  9.2491E-02  1.2807E-16 -2.2934E-15  1.1812E-12 -4.3705E-14
  6.5000E-02 -1.4240E-01  8.6151E-01  1.7825E-03 -1.3124E+01  9.2063E-02 -9.1965E-18  3.8385E-16  1.1750E-12 -4.3708E-14
  7.0000E-02 -1.5335E-01  8.6176E-01  1.6835E-03 -1.3123E+01  9.1707E-02  1.6622E-16  2.0568E-15  1.1687E-12 -4.3712E-14
  7.5000E-02 -1.6431E-01  8.6200E-01  1.6110E-03 -1.3122E+01  9.1416E-02  1.7763E-16 -1.8982E-15  1.1624E-12 -4.3715E-14
  8.0000E-02 -1.7526E-01  8.6222E-01  1.5369E-03 -1.3121E+01  9.1175E-02  1.4323E-16  1.4196E-15  1.1561E-12 -4.3718E-14
  8.5000E-02 -1.8621E-01  8.6244E-01  1.4881E-03 -1.3120E+01  9.0972E-02  1.1308E-16 -1.8392E-15  1.1498E-12 -4.3722E-14
  9.0000E-02 -1.9717E-01  8.6265E-01  1.4396E-03 -1.3119E+01  9.0796E-02 -1.2535E-16 -1.4791E-15  1.1435E-12 -4.3725E-14
  9.5000E-02 -2.0812E-01  8.6286E-01  1.4137E-03 -1.3118E+01  9.0640E-02 -1.4476E-16  1.2090E-15  1.1373E-12 -4.3728E-14
  1.0000E-01 -2.1907E-01  8.6306E-01  1.3876E-03 -1.3117E+01  9.0497E-02 -1.0576E-16 -6.6617E-16  1.1310E-12 -4.3732E-14
  1.0500E-01 -2.3003E-01  8.6326E-01  1.3817E-03 -1.3116E+01  9.0361E-02 -1.0286E-16  7.0652E-16  1.1247E-12 -4.3735E-14
  1.1000E-01 -2.4098E-01  8.6345E-01  1.3750E-03 -1.3115E+01  9.0226E-02  1.2926E-16  2.5252E-15  1.1184E-12 -4.3738E-14
  1.1500E-01 -2.5194E-01  8.6365E-01  1.3851E-03 -1.3114E+01  9.0093E-02  2.0437E-17 -4.0406E-15  1.1121E-12 -4.3742E-14
  1.2000E-01 -2.6289E-01  8.6385E-01  1.3929E-03 -1.3113E+01  8.9954E-02 -2.2787E-16  5.8337E-16  1.1058E-12 -4.3745E-14
  1.2500E-01 -2.7384E-01  8.6405E-01  1.4148E-03 -1.3112E+01  8.9810E-02 -2.4558E-16 -8.3006E-16  1.0996E-12 -4.3748E-14
  1.3000E-01 -2.8480E-01  8.6426E-01  1.4340E-03 -1.3111E+01  8.9656E-02 -3.8966E-16 -1.1764E-15  1.0933E-12 -4.3751E-14
  1.3500E-01 -2.9575E-01  8.6447E-01  1.4657E-03 -1.3110E+01  8.9492E-02 -2.5921E-16  2.9934E-15  1.0870E-12 -4.3755E-14
  1.4000E-01 -3.0670E-01  8.6468E-01  1.4942E-03 -1.3109E+01  8.9319E-02 -1.5770E-16 -1.5798E-15  1.0807E-12 -4.3758E-14
  1.4500E-01 -3.1766E-01  8.6490E-01  1.5332E-03 -1.3108E+01  8.9137E-02 -3.7127E-17  3.2595E-15  1.0744E-12 -4.3761E-14
  1.5000E-01 -3.2861E-01  8.6512E-01  1.5681E-03 -1.3107E+01  8.8945E-02  8.2769E-17 -1.5896E-15  1.0681E-12 -4.3765E-14
  1.5500E-01 -3.3957E-01  8.6535E-01  1.6120E-03 -1.3106E+01  8.8742E-02 -4.0192E-17 -1.2338E-16  1.0619E-12 -4.3768E-14
  1.6000E-01 -3.5052E-01  8.6558E-01  1.6518E-03 -1.3105E+01  8.8531E-02  4.4280E-18  7.4507E-16  1.0556E-12 -4.3771E-14
  1.6500E-01 -3.6147E-01  8.6582E-01  1.6996E-03 -1.3104E+01  8.8311E-02  8.6515E-17  3.9867E-16  1.0493E-12 -4.3774E-14
  1.7000E-01 -3.7243E-01  8.6607E-01  1.7428E-03 -1.3103E+01  8.8079E-02 -7.8341E-18 -1.7134E-15  1.0430E-12 -4.3777E-14
  1.7500E-01 -3.8338E-01  8.6632E-01  1.7930E-03 -1.3102E+01  8.7840E-02 -5.7904E-17  1.0158E-15  1.0367E-12 -4.3781E-14
  1.8000E-01 -3.9433E-01  8.6658E-01  1.8386E-03 -1.3101E+01  8.7598E-02 -7.5957E-17 -1.2675E-15  1.0304E-12 -4.3784E-14
  1.8500E-01 -4.0529E-01  8.6685E-01  1.8899E-03 -1.3100E+01  8.7353E-02 -6.8122E-17  1.3767E-15  1.0242E-12 -4.3787E-14
  1.9000E-01 -4.1624E-01  8.6712E-01  1.9363E-03 -1.3099E+01  8.7100E-02  1.8052E-17 -1.7567E-16  1.0179E-12 -4.3790E-14
  1.9500E-01 -4.2719E-01  8.6741E-01  1.9880E-03 -1.3098E+01  8.6841E-02 -1.1581E-16 -1.6903E-15  1.0116E-12 -4.3793E-14
  2.0000E-01 -4.3815E-01  8.6769E-01  2.0351E-03 -1.3097E+01  8.6576E-02 -1.0014E-16  1.9089E-15  1.0053E-12 -4.3797E-14
  2.0500E-01 -4.4910E-01  8.6799E-01  2.0867E-03 -1.3096E+01  8.6307E-02  8.3791E-17  6.5533E-16  9.9903E-13 -4.3800E-14
  2.1000E-01 -4.6006E-01  8.6829E-01  2.1334E-03 -1.3095E+01  8.6032E-02  7.2210E-17 -8.1685E-16  9.9274E-13 -4.3803E-14
  2.1500E-01 -4.7101E-01  8.6860E-01  2.1845E-03 -1.3094E+01  8.5751E-02 -1.9517E-16 -2.9114E-15  9.8646E-13 -4.3806E-14
  2.2000E-01 -4.8196E-01  8.6892E-01  2.2309E-03 -1.3093E+01  8.5465E-02 -2.3604E-16  2.3417E-15  9.8018E-13 -4.3809E-14
  2.2500E-01 -4.9292E-01  8.6924E-01  2.2809E-03 -1.3092E+01  8.5177E-02  2.1118E-17  1.2445E-15  9.7389E-13 -4.3812E-14
  2.3000E-01 -5.0387E-01  8.6957E-01  2.3262E-03 -1.3092E+01  8.4885E-02 -6.9144E-17 -2.5035E-15  9.6761E-13 -4.3816E-14
  2.3500E-01 -5.1482E-01  8.6991E-01  2.3752E-03 -1.3091E+01  8.4587E-02  1.6690E-17  3.7009E-15  9.6133E-13 -4.3819E-14
  2.4000E-01 -5.2578E-01  8.7025E-01  2.4197E-03 -1.3090E+01  8.4287E-02  3.9511E-17 -3.3828E-15  9.5504E-13 -4.3822E-14
  2.4500E-01 -5.3673E-01  8.7060E-01  2.4673E-03 -1.3089E+01  8.3986E-02 -6.3694E-17  1.9434E-15  9.4876E-13 -4.3825E-14
  2.5000E-01 -5.4769E-01  8.7096E-01  2.5103E-03 -1.3088E+01  8.3680E-02  6.4376E-17 -1.5681E-16  9.4248E-13 -4.3828E-14
  2.5500E-01 -5.5864E-01  8.7132E-01  2.5563E-03 -1.3087E+01  8.3370E-02  1.3318E-16  1.1168E-15  9.3619E-13 -4.3831E-14
  2.6000E-01 -5.6959E-01  8.7169E-01  2.5984E-03 -1.3086E+01  8.3059E-02  3.5832E-16  2.0246E-15  9.2991E-13 -4.3834E-14
  2.6500E-01 -5.8055E-01  8.7207E-01  2.6430E-03 -1.3085E+01  8.2748E-02  3.0451E-16 -2.7756E-15  9.2363E-13 -4.3837E-14
  2.7000E-01 -5.9150E-01  8.7245E-01  2.6832E-03 -1.3084E+01  8.2432E-02 -6.7782E-17 -2.4194E-15  9.1735E-13 -4.3840E-14
  2.7500E-01 -6.0245E-01  8.7284E-01  2.7263E-03 -1.3083E+01  8.2112E-02  8.7878E-17  4.5919E-15  9.1106E-13 -4.3843E-14
  2.8000E-01 -6.1341E-01  8.7323E-01  2.7655E-03 -1.3082E+01  8.1790E-02  3.6854E-16 -6.7504E-16  9.0478E-13 -4.3846E-14
  2.8500E-01 -6.2436E-01  8.7363E-01  2.8070E-03 -1.3082E+01  8.1468E-02  1.4135E-16 -2.4959E-15  8.9850E-13 -4.3849E-14
  2.9000E-01 -6.3532E-01  8.7404E-01  2.8445E-03 -1.3081E+01  8.1143E-02 -4.0533E-17 -4.2790E-17  8.9221E-13 -4.3852E-14
  2.9500E-01 -6.4627E-01  8.7445E-01  2.8847E-03 -1.3080E+01  8.0815E-02  6.5738E-17  1.5263E-15  8.8593E-13 -4.3855E-14
  3.0000E-01 -6.5722E-01  8.7486E-01  2.9211E-03 -1.3079E+01  8.0484E-02  5.1739E-16  4.7789E-15  8.7965E-13 -4.3858E-14
  3.0500E-01 -6.6818E-01  8.7528E-01  2.9598E-03 -1.3078E+01  8.0154E-02  2.9838E-16 -7.8369E-15  8.7336E-13 -4.3861E-14
  3.1000E-01 -6.7913E-01  8.7571E-01  2.9947E-03 -1.3077E+01  7.9821E-02 -3.2290E-16 -8.3701E-16  8.6708E-13 -4.3864E-14
  3.1500E-01 -6.9008E-01  8.7614E-01  3.0320E-03 -1.3076E+01  7.9484E-02 -1.8768E-16  2.7252E-15  8.6080E-13 -4.3867E-14
  3.2000E-01 -7.0104E-01  8.7658E-01  3.0660E-03 -1.3075E+01  7.9146E-02 -1.9824E-16 -2.8728E-15  8.5451E-13 -4.3870E-14
  3.2500E-01 -7.1199E-01  8.7702E-01  3.1020E-03 -1.3074E+01  7.8809E-02 -2.9770E-16  1.4841E-15  8.4823E-13 -4.3873E-14
  3.3000E-01 -7.2295E-01  8.7747E-01  3.1345E-03 -1.3074E+01  7.8468E-02  2.6227E-16  6.3363E-15  8.4195E-13 -4.3876E-14
  3.3500E-01 -7.3390E-01  8.7792E-01  3.1694E-03 -1.3073E+01  7.8123E-02  4.4007E-16 -3.8534E-15  8.3566E-13 -4.3878E-14
  3.4000E-01 -7.4485E-01  8.7837E-01  3.2012E-03 -1.3072E+01  7.7779E-02  2.0880E-16  6.2325E-16  8.2938E-13 -4.3881E-14
  3.4500E-01 -7.5581E-01  8.7884E-01  3.2350E-03 -1.3071E+01  7.7435E-02  1.8257E-16 -9.8965E-16  8.2310E-13 -4.3884E-14
  3.5000E-01 -7.6676E-01  8.7930E-01  3.2655E-03 -1.3070E+01  7.7086E-02 -6.1651E-17 -2.4219E-15  8.1681E-13 -4.3887E-14
  3.5500E-01 -7.7771E-01  8.7977E-01  3.2982E-03 -1.3069E+01  7.6735E-02 -1.0048E-16  1.8796E-15  8.1053E-13 -4.3890E-14
  3.6000E-01 -7.8867E-01  8.8024E-01  3.3280E-03 -1.3069E+01  7.6381E-02  3.4061E-16  4.2830E-15  8.0425E-13 -4.3893E-14
  3.6500E-01 -7.9962E-01  8.8072E-01  3.3597E-03 -1.3068E+01  7.6028E-02  2.7385E-16 -5.2160E-15  7.9796E-13 -4.3895E-14
  3.7000E-01 -8.1057E-01  8.8121E-01  3.3885E-03 -1.3067E+01  7.5673E-02 -3.1030E-16 -2.9461E-15  7.9168E-13 -4.3898E-14
  3.7500E-01 -8.2153E-01  8.8169E-01  3.4194E-03 -1.3066E+01  7.5315E-02 -2.9395E-16  3.1748E-15  7.8540E-13 -4.3901E-14
  3.8000E-01 -8.3248E-01  8.8218E-01  3.4477E-03 -1.3065E+01  7.4954E-02 -8.8559E-18  8.0921E-16  7.7911E-13 -4.3904E-14
  3.8500E-01 -8.4344E-01  8.8268E-01  3.4777E-03 -1.3064E+01  7.4593E-02  1.3216E-16  1.1615E-15  7.7283E-13 -4.3907E-14
  3.9000E-01 -8.5439E-01  8.8318E-01  3.5052E-03 -1.3064E+01  7.4231E-02  7.0166E-17 -2.0280E-15  7.6655E-13 -4.3909E-14
  3.9500E-01 -8.6534E-01  8.8368E-01  3.5346E-03 -1.3063E+01  7.3865E-02  1.4238E-16  3.0375E-15  7.6027E-13 -4.3912E-14
  4.0000E-01 -8.7630E-01  8.8419E-01  3.5617E-03 -1.3062E+01  7.3497E-02  3.2563E-16 -4.7612E-16  7.5398E-13 -4.3915E-14
  4.0500E-01 -8.8725E-01  8.8470E-01  3.5904E-03 -1.3061E+01  7.3128E-02  1.6690E-16 -1.7427E-15  7.4770E-13 -4.3917E-14
  4.1000E-01 -8.9820E-01  8.8522E-01  3.6167E-03 -1.3060E+01  7.2757E-02  9.1284E-17  6.8570E-16  7.4142E-13 -4.3920E-14
  4.1500E-01 -9.0916E-01  8.8574E-01  3.6450E-03 -1.3060E+01  7.2382E-02  2.5478E-16  1.6001E-15  7.3513E-13 -4.3923E-14
  4.2000E-01 -9.2011E-01  8.8626E-01  3.6711E-03 -1.3059E+01  7.2007E-02  2.5342E-16 -1.6192E-15  7.2885E-13 -4.3925E-14
  4.2500E-01 -9.3107E-01  8.8679E-01  3.6988E-03 -1.3058E+01  7.1631E-02  7.1529E-17 -9.2396E-16  7.2257E-13 -4.3928E-14
  4.3000E-01 -9.4202E-01  8.8732E-01  3.7243E-03 -1.3057E+01  7.1250E-02  3.0314E-16  4.1628E-15  7.1628E-13 -4.3931E-14
  4.3500E-01 -9.5297E-01  8.8785E-01  3.7517E-03 -1.3056E+01  7.0868E-02  1.5328E-16 -6.2589E-15  7.1000E-13 -4.3933E-14
  4.4000E-01 -9.6393E-01  8.8839E-01  3.7771E-03 -1.3056E+01  7.0483E-02 -7.6297E-17  3.0487E-15  7.0372E-13 -4.3936E-14
  4.4500E-01 -9.7488E-01  8.8893E-01  3.8039E-03 -1.3055E+01  7.0097E-02  1.4714E-16  7.6221E-17  6.9743E-13 -4.3939E-14
  4.5000E-01 -9.8583E-01  8.8948E-01  3.8288E-03 -1.3054E+01  6.9707E-02  3.3993E-16  2.6203E-15  6.9115E-13 -4.3941E-14
  4.5500E-01 -9.9679E-01  8.9003E-01  3.8555E-03 -1.3053E+01  6.9316E-02  9.4690E-17 -6.0508E-15  6.8487E-13 -4.3944E-14
  4.6000E-01 -1.0077E+00  8.9058E-01  3.8805E-03 -1.3053E+01  6.8921E-02  1.8938E-16  7.3757E-15  6.7858E-13 -4.3946E-14
  4.6500E-01 -1.0187E+00  8.9114E-01  3.9067E-03 -1.3052E+01  6.8525E-02  2.1390E-16 -7.0330E-15  6.7230E-13 -4.3949E-14
  4.7000E-01 -1.0296E+00  8.9170E-01  3.9312E-03 -1.3051E+01  6.8126E-02 -8.1066E-17  2.9068E-15  6.6602E-13 -4.3951E-14
  4.7500E-01 -1.0406E+00  8.9226E-01  3.9575E-03 -1.3050E+01  6.7724E-02  3.2358E-16  2.7544E-15  6.5973E-13 -4.3954E-14
  4.8000E-01 -1.0516E+00  8.9283E-01  3.9822E-03 -1.3050E+01  6.7320E-02  1.4987E-17 -7.0724E-15  6.5345E-13 -4.3956E-14
  4.8500E-01 -1.0625E+00  8.9340E-01  4.0080E-03 -1.3049E+01  6.6914E-02 -2.3502E-16  3.5745E-15  6.4717E-13 -4.3959E-14
  4.9000E-01 -1.0735E+00  8.9398E-01  4.0323E-03 -1.3048E+01  6.6505E-02 -2.5069E-16 -3.7940E-15  6.4088E-13 -4.3961E-14
  4.9500E-01 -1.0844E+00  8.9455E-01  4.0582E-03 -1.3047E+01  6.6092E-02 -5.5588E-16 -4.7665E-16  6.3460E-13 -4.3964E-14
  5.0000E-01 -1.0954E+00  8.9514E-01  4.0828E-03 -1.3047E+01  6.5678E-02 -1.8121E-16  5.7202E-15  6.2832E-13 -4.3966E-14
  5.0500E-01 -1.1063E+00  8.9572E-01  4.1083E-03 -1.3046E+01  6.5261E-02  3.8830E-16  2.2501E-15  6.2204E-13 -4.3968E-14
  5.1000E-01 -1.1173E+00  8.9631E-01  4.1324E-03 -1.3045E+01  6.4841E-02  3.7535E-16 -2.4313E-15  6.1575E-13 -4.3971E-14
  5.1500E-01 -1.1282E+00  8.9690E-01  4.1582E-03 -1.3045E+01  6.4418E-02  3.7535E-16  2.4315E-15  6.0947E-13 -4.3973E-14
  5.2000E-01 -1.1392E+00  8.9750E-01  4.1827E-03 -1.3044E+01  6.3992E-02  8.9172E-16  4.7965E-15  6.0319E-13 -4.3976E-14
  5.2500E-01 -1.1501E+00  8.9810E-01  4.2080E-03 -1.3043E+01  6.3564E-02  7.7796E-16 -6.3893E-15  5.9690E-13 -4.3978E-14
  5.3000E-01 -1.1611E+00  8.9870E-01  4.2320E-03 -1.3042E+01  6.3133E-02  6.8122E-18 -4.4060E-15  5.9062E-13 -4.3980E-14
  5.3500E-01 -1.1720E+00  8.9931E-01  4.2576E-03 -1.3042E+01  6.2698E-02 -2.5682E-16  7.1529E-16  5.8434E-13 -4.3983E-14
  5.4000E-01 -1.1830E+00  8.9992E-01  4.2821E-03 -1.3041E+01  6.2261E-02 -4.0397E-16 -2.7755E-15  5.7805E-13 -4.3985E-14
  5.4500E-01 -1.1940E+00  9.0053E-01  4.3073E-03 -1.3040E+01  6.1821E-02 -3.2563E-16  3.8725E-15  5.7177E-13 -4.3987E-14
  5.5000E-01 -1.2049E+00  9.0115E-01  4.3312E-03 -1.3040E+01  6.1378E-02 -3.7672E-16 -4.5881E-15  5.6549E-13 -4.3990E-14
  5.5500E-01 -1.2159E+00  9.0177E-01  4.3566E-03 -1.3039E+01  6.0932E-02 -5.7836E-16  1.7648E-15  5.5920E-13 -4.3992E-14
  5.6000E-01 -1.2268E+00  9.0239E-01  4.3811E-03 -1.3038E+01  6.0483E-02 -7.0643E-16 -3.5583E-15  5.5292E-13 -4.3994E-14
  5.6500E-01 -1.2378E+00  9.0302E-01  4.4061E-03 -1.3038E+01  6.0030E-02 -2.8066E-16  9.5211E-15  5.4664E-13 -4.3996E-14
  5.7000E-01 -1.2487E+00  9.0365E-01  4.4299E-03 -1.3037E+01  5.9576E-02  5.0683E-16  1.5074E-15  5.4035E-13 -4.3998E-14
  5.7500E-01 -1.2597E+00  9.0428E-01  4.4551E-03 -1.3036E+01  5.9118E-02 -1.4578E-16 -1.0648E-14  5.3407E-13 -4.4001E-14
  5.8000E-01 -1.2706E+00  9.0492E-01  4.4796E-03 -1.3036E+01  5.8656E-02 -4.9729E-16  5.7250E-15  5.2779E-13 -4.4003E-14
  5.8500E-01 -1.2816E+00  9.0556E-01  4.5043E-03 -1.3035E+01  5.8191E-02 -3.1336E-17  8.0153E-16  5.2150E-13 -4.4005E-14
  5.9000E-01 -1.2925E+00  9.0621E-01  4.5280E-03 -1.3035E+01  5.7724E-02  8.1747E-17  7.8249E-16  5.1522E-13 -4.4007E-14
  5.9500E-01 -1.3035E+00  9.0686E-01  4.5530E-03 -1.3034E+01  5.7255E-02 -2.5614E-16 -5.5158E-15  5.0894E-13 -4.4009E-14
  6.0000E-01 -1.3144E+00  9.0751E-01  4.5773E-03 -1.3033E+01  5.6781E-02 -1.8052E-16  6.5754E-15  5.0265E-13 -4.4011E-14
  6.0500E-01 -1.3254E+00  9.0816E-01  4.6018E-03 -1.3033E+01  5.6304E-02  1.8461E-16 -1.4602E-15  4.9637E-13 -4.4013E-14
  6.1000E-01 -1.3364E+00  9.0882E-01  4.6253E-03 -1.3032E+01  5.5825E-02 -7.2550E-16 -1.1291E-14  4.9009E-13 -4.4016E-14
  6.1500E-01 -1.3473E+00  9.0948E-01  4.6500E-03 -1.3031E+01  5.5343E-02 -8.5630E-16  9.4589E-15  4.8381E-13 -4.4018E-14
  6.2000E-01 -1.3583E+00  9.1015E-01  4.6740E-03 -1.3031E+01  5.4857E-02  3.3244E-16  7.1971E-15  4.7752E-13 -4.4020E-14
  6.2500E-01 -1.3692E+00  9.1082E-01  4.6980E-03 -1.3030E+01  5.4367E-02  3.9579E-16 -6.3097E-15  4.7124E-13 -4.4022E-14
  6.3000E-01 -1.3802E+00  9.1149E-01  4.7212E-03 -1.3030E+01  5.3874E-02 -6.8122E-17 -1.9092E-16  4.6496E-13 -4.4024E-14
  6.3500E-01 -1.3911E+00  9.1217E-01  4.7453E-03 -1.3029E+01  5.3380E-02 -3.4470E-16 -3.6850E-15  4.5867E-13 -4.4026E-14
  6.4000E-01 -1.4021E+00  9.1285E-01  4.7689E-03 -1.3028E+01  5.2882E-02 -7.2005E-16 -1.5753E-15  4.5239E-13 -4.4028E-14
  6.4500E-01 -1.4130E+00  9.1353E-01  4.7923E-03 -1.3028E+01  5.2379E-02 -5.7018E-16  3.6757E-15  4.4611E-13 -4.4030E-14
  6.5000E-01 -1.4240E+00  9.1421E-01  4.8150E-03 -1.3027E+01  5.1873E-02 -5.3612E-16 -3.1985E-15  4.3982E-13 -4.4032E-14
  6.5500E-01 -1.4349E+00  9.1490E-01  4.8386E-03 -1.3027E+01  5.1365E-02 -2.0709E-16  7.8104E-15  4.3354E-13 -4.4033E-14
  6.6000E-01 -1.4459E+00  9.1559E-01  4.8616E-03 -1.3026E+01  5.0855E-02  1.5055E-16 -2.7978E-15  4.2726E-13 -4.4035E-14
