{deltal -> -2.02144, B0c[0] -> 1.43747, muc[0] -> 0.690273, deltac[0] -> -3.07424}
{deltal -> -2.02115, B0c[0] -> 1.43783, muc[0] -> 0.692426, deltac[0] -> -3.07514}
{deltal -> -2.02089, B0c[0] -> 1.43796, muc[0] -> 0.693602, deltac[0] -> -3.07598}
{deltal -> -2.02061, B0c[0] -> 1.43778, muc[0] -> 0.694348, deltac[0] -> -3.07683}
{deltal -> -2.02037, B0c[0] -> 1.43737, muc[0] -> 0.694745, deltac[0] -> -3.07758}
{deltal -> -2.02012, B0c[0] -> 1.43665, muc[0] -> 0.694977, deltac[0] -> -3.07839}
{deltal -> -2.01989, B0c[0] -> 1.43576, muc[0] -> 0.695052, deltac[0] -> -3.07912}
{deltal -> -2.01964, B0c[0] -> 1.43457, muc[0] -> 0.695008, deltac[0] -> 0.0616923}
{deltal -> -2.01941, B0c[0] -> 1.43329, muc[0] -> 0.69487, deltac[0] -> -3.08061}
{deltal -> -2.01917, B0c[0] -> 1.43171, muc[0] -> 0.694617, deltac[0] -> -3.08138}
{deltal -> -2.01895, B0c[0] -> 1.43011, muc[0] -> 0.694306, deltac[0] -> -3.08207}
{deltal -> -2.01871, B0c[0] -> 1.42823, muc[0] -> 0.69389, deltac[0] -> -3.08281}
{deltal -> -2.0185, B0c[0] -> 1.4264, muc[0] -> 0.693436, deltac[0] -> -3.08346}
{deltal -> -2.01829, B0c[0] -> 1.42444, muc[0] -> 0.692922, deltac[0] -> -3.08415}
{deltal -> -2.01806, B0c[0] -> 1.42223, muc[0] -> 0.692302, deltac[0] -> 0.0567468}
{deltal -> -2.01786, B0c[0] -> 1.42011, muc[0] -> 0.691673, deltac[0] -> -3.08548}
{deltal -> -2.01764, B0c[0] -> 1.41771, muc[0] -> 0.690938, deltac[0] -> -3.08616}
{deltal -> -2.01745, B0c[0] -> 1.41543, muc[0] -> 0.690205, deltac[0] -> -3.08677}
{deltal -> -2.01724, B0c[0] -> 1.41286, muc[0] -> 0.689348, deltac[0] -> -3.08742}
{deltal -> -2.01706, B0c[0] -> 1.41041, muc[0] -> 0.688497, deltac[0] -> -3.08801}
{deltal -> -2.01686, B0c[0] -> 1.40766, muc[0] -> 0.6875, deltac[0] -> -3.08863}
{deltal -> -2.00444, B0c[0] -> 1.40314, muc[0] -> 0.684935, deltac[0] -> 3.14159}
{deltal -> -2.01651, B0c[0] -> 1.4021, muc[0] -> 0.685313, deltac[0] -> -3.08974}
{deltal -> -2.01635, B0c[0] -> 1.3993, muc[0] -> 0.68411, deltac[0] -> -3.09023}
{deltal -> -2.0162, B0c[0] -> 1.39615, muc[0] -> 0.682674, deltac[0] -> -3.09071}
