------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
    10  0.000000000000E+00  0.000000000000E+00  6.537293181104E+00

------ Current Surface: Coil-Plasma separation =   4.000000000000E-02 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  3.758284136309E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  8.116115362684E-03  8.135410243491E-03  0.000000000000E+00  0.000000000000E+00
      0    -2 -1.454249422772E-04 -1.692722090689E-04  0.000000000000E+00  0.000000000000E+00
      0    -3 -5.231195727928E-05 -3.700993333842E-05  0.000000000000E+00  0.000000000000E+00
      0    -4  2.381339266522E-05  1.468857063497E-05  0.000000000000E+00  0.000000000000E+00
      0    -5 -6.043110236689E-06 -3.036916176429E-06  0.000000000000E+00  0.000000000000E+00
      0    -6  3.110642065321E-06  2.901295541512E-07  0.000000000000E+00  0.000000000000E+00
      0    -7  2.544848714872E-07  3.040432807386E-06  0.000000000000E+00  0.000000000000E+00
      0    -8  3.248793721127E-06 -1.744459856652E-06  0.000000000000E+00  0.000000000000E+00
      0    -9 -4.159097574345E-06 -2.031639052891E-06  0.000000000000E+00  0.000000000000E+00
      0   -10  1.740891130083E-06  3.058565668242E-07  0.000000000000E+00  0.000000000000E+00
      0   -11 -1.952326809797E-06 -1.275870379933E-08  0.000000000000E+00  0.000000000000E+00
      0   -12  7.973295330305E-07 -5.561664344198E-07  0.000000000000E+00  0.000000000000E+00
      0   -13 -1.495098765269E-07  2.353728466454E-07  0.000000000000E+00  0.000000000000E+00
      0   -14  9.885871124087E-08 -7.614393500322E-08  0.000000000000E+00  0.000000000000E+00
      0   -15 -2.423034841333E-08  3.913104960393E-08  0.000000000000E+00  0.000000000000E+00
      0   -16  3.868386740165E-09 -3.515179358381E-09  0.000000000000E+00  0.000000000000E+00
      0   -17  1.007381744157E-08  1.631632363568E-10  0.000000000000E+00  0.000000000000E+00
      0   -18 -7.911844631379E-09 -5.700051433293E-09  0.000000000000E+00  0.000000000000E+00
      0   -19  4.109311066121E-09  3.334343510593E-09  0.000000000000E+00  0.000000000000E+00
      0   -20 -6.315572443271E-10 -3.870020356558E-09  0.000000000000E+00  0.000000000000E+00
      0   -21  2.516676823536E-10  1.095654200827E-09  0.000000000000E+00  0.000000000000E+00
      0   -22 -6.805652875020E-10 -5.672202998079E-10  0.000000000000E+00  0.000000000000E+00
      0   -23  2.694301873621E-10  5.463632249770E-10  0.000000000000E+00  0.000000000000E+00
